Entidad Federativa,Puntos de descarga totales
Aguascalientes,180
Baja California,4
Baja California Sur,2
Campeche,1
Coahuila de Zaragoza,37
Colima,2
Chiapas,294
Chihuahua,24
Ciudad de México,65
Durango,19
Guanajuato,49
Guerrero,236
Hidalgo,498
Jalisco,443
México,706
Michoacán de Ocampo,372
Morelos,106
Nayarit,8
Nuevo León,0
Oaxaca,265
Puebla,435
Querétaro,77
Quintana Roo,1
San Luis Potosí,154
Sinaloa,157
Sonora,164
Tabasco,207
Tamaulipas,90
Tlaxcala,365
Veracruz de Ignacio de la Llave,562
Yucatán,0
Zacatecas,329
