Tiempo,Reactor 1,Reactor 2,Reactor 3,Reactor 4
0,5.00,5.72,6.31,6.69
1,4.75,5.68,6.26,6.62
2,4.53,5.53,6.21,6.60
3,4.41,5.37,6.17,6.57
4,4.21,5.31,6.12,6.56
5,3.95,5.21,6.08,6.55
6,3.80,5.08,6.04,6.52
7,3.61,5.00,6.01,6.51
8,3.46,4.89,5.97,6.50
9,3.26,4.78,5.93,6.48
10,3.07,4.65,5.89,6.47
11,2.88,4.55,5.84,6.45
12,2.70,4.47,5.82,6.44
13,2.51,4.36,5.78,6.43
14,2.27,4.26,5.74,6.40
15,2.14,4.16,5.70,6.38
16,1.98,4.04,5.65,6.37
17,1.78,3.94,5.63,6.36
18,1.61,3.84,5.59,6.35
19,1.44,3.74,5.55,6.34
20,1.28,3.64,5.51,6.33
