TIEMPO,OD_R1,OD_R2,OD_R3,OD_R4
0,6.59,6.46,6.62,6.58
1,6.54,6.42,6.60,6.56
2,6.50,6.39,6.57,6.54
3,6.48,6.36,6.54,6.50
4,6.43,6.32,6.52,6.49
5,6.39,6.29,6.47,6.47
6,6.36,6.26,6.44,6.45
7,6.31,6.25,6.40,6.43
8,6.28,6.20,6.37,6.40
9,6.24,6.15,6.35,6.37
10,6.19,6.12,6.31,6.34
11,6.16,6.08,6.28,6.32
12,6.11,6.05,6.25,6.30
13,6.07,6.01,6.22,6.28
14,6.02,5.99,6.18,6.27
15,5.98,5.95,6.16,6.25
16,5.92,5.91,6.13,6.24
17,5.89,5.88,6.10,6.23
18,5.85,5.84,6.07,6.21
19,5.81,5.80,6.04,6.19
20,5.77,5.77,6.00,6.18
