TIEMPO, OD_R1, OD_R2, OD_R3, OD_R4
0, 4.49, 5.61, 5.00, 5.84
1, 2.39, 5.06, 4.87, 5.69
2, 1.65, 4.83, 4.51, 5.61 
3, 1.30, 4.66, 4.43, 5.50
4, 0.87, 4.49, 4.23, 5.45
5, 0.56, 4.30, 4.05, 5.36
6, 0.25, 4.16, 3.88, 5.29
7, 0.11, 4.00, 3.70, 5.22
8, 0.08, 3.89, 3.50, 5.16
9, 0.08, 3.72, 3.35, 5.08
10, 0.07, 3.60, 3.19, 4.99
11, 0.07, 3.44, 2.98, 4.94
12, 0.07, 3.33, 2.86, 4.86
13, 0.06, 3.19, 2.70, 4.79
14, 0.06, 3.03, 2.54, 4.70
15, 0.06, 2.90, 2.35, 4.62
16, 0.06, 2.79, 2.19, 4.57
17, 0.06, 2.65, 2.08, 4.51
18, 0.06, 2.53, 1.88, 4.42
19, 0.05, 2.39, 1.68, 4.36
20, 0.05, 2.26, 1.56, 4.28
