created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-07-10T00:20:15-06:00,1,0,10,0,0,1,0,0,0,,,,
2023-07-10T00:20:31-06:00,2,0,0,0,0,0,0,0,0,,,,
2023-07-10T00:20:47-06:00,3,0,0,0,0,0,0,0,0,,,,
2023-07-10T00:21:02-06:00,4,0,0,0,0,0,0,0,0,,,,
2023-07-10T00:21:26-06:00,5,0,16,0,0,0,0,0,0,,,,
2023-07-10T00:21:42-06:00,6,0,0,0,0,13,0,0,0,,,,
2023-07-10T00:21:57-06:00,7,0,0,0,0,9,0,0,0,,,,
2023-07-10T00:22:13-06:00,8,0,0,0,0,9,0,0,0,,,,
2023-07-10T00:22:28-06:00,9,0,0,0,0,9,0,0,0,,,,
2023-07-13T17:58:57-06:00,10,0,88,0,0,0,0,0,0,,,,
2023-07-13T18:24:58-06:00,11,64525,60937,62583,29309,392,395,427,418,,,,
2023-07-13T18:25:13-06:00,12,6225,5821,5985,4835,368,381,408,406,,,,
2023-07-13T18:25:29-06:00,13,0,0,0,47,0,0,0,0,,,,
2023-07-13T18:25:44-06:00,14,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:26:00-06:00,15,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:26:16-06:00,16,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:26:31-06:00,17,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:26:47-06:00,18,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:27:03-06:00,19,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:27:18-06:00,20,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:27:33-06:00,21,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:27:49-06:00,22,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:28:05-06:00,23,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:28:20-06:00,24,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:28:36-06:00,25,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:28:51-06:00,26,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:29:07-06:00,27,0,0,0,0,0,0,0,0,,,,
2023-07-13T18:29:22-06:00,28,0,0,0,0,0,0,0,0,,,,
